kind,id,occupation_title,task_text
onet,10633,First-line supervisors of construction trades and extraction workers,"Locate, measure, and mark site locations or placement of structures or equipment, using measuring an — Locate, measure, and mark site locations or placement of structures or equipment, using measuring and marking equipment."
onet,12562,Maintenance and repair workers general,"Position, attach, or blow insulating materials to prevent energy losses from buildings, pipes, or ot — Position, attach, or blow insulating materials to prevent energy losses from buildings, pipes, or other structures or objects."
micro,6188,Animal breeders,Monitor animal health — Track health metrics across different breeds
onet,1561,Software quality assurance analysts and testers,Monitor program performance to ensure efficient and problem-free operations.
micro,9545,Compliance officers,Generate compliance reports — Compile and format compliance reports for internal and external stakeholders.
onet,7100,Orthotists and prosthetists,Instruct patients in the use and care of orthoses and prostheses.
micro,7751,Slaughterers and meat packers,Update supplier contracts — Review and negotiate terms with meat suppliers.
micro,2448,History teachers postsecondary,Organize volunteer schedules — Coordinate and schedule volunteer contributions for school events.
micro,4908,First-line supervisors of entertainment and recreation workers,Review budget allocations — Analyze and report on budget usage for entertainment and recreation departments.
micro,2608,Special education teachers kindergarten and elementary school,Evaluate and update curriculum — Review curriculum alignment with special education standards.
onet,11597,Continuous mining machine operators,Conduct methane gas checks to ensure breathing quality of air.
onet,2104,Mechanical engineers,"Calculate energy losses for buildings, using equipment such as computers, combustion analyzers, or p — Calculate energy losses for buildings, using equipment such as computers, combustion analyzers, or pressure gauges."
micro,3541,Registered nurses,Prepare medication orders — Review and verify medication lists before administration.
micro,3831,Nuclear medicine technologists,Train staff on new technologies — Organize and deliver training sessions on emerging nuclear medicine tools.
onet,4988,Adult basic education adult secondary education and English as a second language instructors,Prepare materials and classrooms for class activities.
micro,5069,Crematory operators,Prepare cremation area — Set up the cremation chamber with appropriate safety equipment and signage.
onet,3509,Social and human service assistants,Develop and implement behavioral management and care plans for clients.
onet,3902,Forestry and conservation science teachers postsecondary,"Initiate, facilitate, and moderate classroom discussions."
onet,8898,Skincare specialists,"Treat the facial skin to maintain and improve its appearance, using specialized techniques and produ — Treat the facial skin to maintain and improve its appearance, using specialized techniques and products, such as peels and masks."
micro,5877,Cargo and freight agents,Update internal policies — Review and update office and administrative policies for freight operations.
micro,9210,Crane and tower operators,Record operational logs — Maintain detailed logs of tower and crane operations.
micro,373,Market research analysts and marketing specialists,Benchmark industry performance metrics — Compare key performance indicators with industry standards.
onet,12175,Bicycle repairers,Help customers select bicycles that fit their body sizes and intended bicycle uses.Related occupatio — Help customers select bicycles that fit their body sizes and intended bicycle uses.
onet,3034,Historians,"Teach and conduct research in colleges, universities, museums, and other research agencies and schoo — Teach and conduct research in colleges, universities, museums, and other research agencies and schools."
micro,9594,Labor relations specialists,Gather labor statistics — Collect and analyze labor market data to inform negotiation strategies.
onet,12722,Aircraft structure surfaces rigging and systems assemblers,Manually install structural assemblies or signal crane operators to position assemblies for joining.
onet,4243,Nursing instructors and teachers postsecondary,"Supervise undergraduate or graduate teaching, internship, and research work."
micro,5937,Postal service clerks,Prepare meeting agendas — Compile and distribute meeting notes
onet,12527,Watch and clock repairers,"Repair or replace broken, damaged, or worn parts on timepieces, using lathes, drill presses, and han — Repair or replace broken, damaged, or worn parts on timepieces, using lathes, drill presses, and hand tools."
onet,7681,Forest fire inspectors and prevention specialists,"Extinguish smaller fires with portable extinguishers, shovels, and axes."
micro,4601,First-line supervisors of food preparation and serving workers,Support employee onboarding — Assist new hires with orientation and training materials.
onet,14873,Bus drivers school,Comply with traffic regulations to operate vehicles in a safe and courteous manner.Related occupatio — Comply with traffic regulations to operate vehicles in a safe and courteous manner.
micro,5044,Locker room coatroom and dressing room attendants,Document coatroom incident reports — Record any incidents or complaints in the coatroom.
onet,15256,Conveyor operators and tenders,"Collect samples of materials or products, checking them to ensure conformance to specifications or s — Collect samples of materials or products, checking them to ensure conformance to specifications or sending them to laboratories for analysis."
onet,9005,Exercise trainers and group fitness instructors,"Teach individual and team sports to participants through instruction and demonstration, using knowle — Teach individual and team sports to participants through instruction and demonstration, using knowledge of sports techniques and of participants' physical capabilities."
micro,7090,Electric motor power tool and related repairers,Generate repair checklist — Create a step-by-step repair checklist for common electric motor issues.
micro,466,Financial risk specialists,Perform stress testing — Run stress tests on portfolios under extreme scenarios.
onet,9180,Retail salespersons,Greet customers and ascertain what each customer wants or needs.
micro,2076,Title examiners abstractors and searchers,Analyze examiner performance trends — Track and analyze trends in examiner performance over time.
onet,11920,Audiovisual equipment installers and repairers,"Read and interpret electronic circuit diagrams, function block diagrams, specifications, engineering — Read and interpret electronic circuit diagrams, function block diagrams, specifications, engineering drawings, and service manuals."
onet,14753,Air traffic controllers,"Conduct pre-flight briefings on weather conditions, suggested routes, altitudes, indications of turb — Conduct pre-flight briefings on weather conditions, suggested routes, altitudes, indications of turbulence, or other flight safety information."
onet,11256,Helpers electricians,"Maintain tools, vehicles, and equipment and keep parts and supplies in order."
micro,8366,Woodworkers all other,Log daily production metrics — Record output and efficiency data for each session
micro,5486,Telemarketers,Update outreach strategies — Refine messaging and tactics based on feedback.
onet,11091,Plumbers pipefitters and steamfitters,Keep records of work assignments.
micro,3417,Physician assistants,Assist with insurance claims — Prepare and submit claims using standardized templates.
onet,9879,Library assistants clerical,Classify and catalog items according to content and purpose.
micro,5221,Exercise trainers and group fitness instructors,Provide motivation and feedback — Deliver regular positive reinforcement and coaching.
micro,5836,Receptionists and information clerks,Process incoming emails — Sort and prioritize emails for forwarding or action.
micro,7178,Automotive body and related repairers,Verify torque specifications — Check torque values for bolts and fasteners on body panels before installation.
onet,9253,Securities commodities and financial services sales agents,"Develop financial plans, based on analysis of clients' financial status."
onet,8615,Motion picture projectionists,Start projectors and open shutters to project images onto screens.
onet,8788,Morticians undertakers and funeral arrangers,"Plan, schedule, or coordinate funerals, burials, or cremations, arranging details such as floral del — Plan, schedule, or coordinate funerals, burials, or cremations, arranging details such as floral delivery or the time and place of services."
micro,6133,Proofreaders and copy markers,Verify citations and references — Check all in-text citations for accuracy.
micro,2583,Career/technical education teachers secondary school,Update teaching methodologies — Research and implement new teaching strategies.
