kind,id,occupation_title,task_text
micro,4300,First-line supervisors of police and detectives,Coordinate with team leads — Schedule and confirm team meetings with supervisors.
onet,6794,Diagnostic medical sonographers,"Coordinate work with physicians or other healthcare team members, including providing assistance dur — Coordinate work with physicians or other healthcare team members, including providing assistance during invasive procedures."
onet,3865,Biological science teachers postsecondary,"Evaluate and grade students' class work, laboratory work, assignments, and papers."
onet,15234,Transportation inspectors,"Calculate gross and net tonnage, hold capacities, volumes of stored fuel and water, cargo weights, a — Calculate gross and net tonnage, hold capacities, volumes of stored fuel and water, cargo weights, and vessel stability factors, using mathematical formulas."
onet,786,Claims adjusters examiners and investigators,Verify and analyze data used in settling claims to ensure that claims are valid and that settlements — Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.
micro,6915,Earth drillers except oil and gas,Document drilling logs — Compile and archive drilling operations records.
micro,7568,Riggers,Document repair procedures — Record step-by-step repair instructions for each rigging issue.
onet,6343,Veterinarians,Counsel clients about the deaths of their pets or about euthanasia decisions for their pets.
onet,9519,Switchboard operators including answering service,Monitor alarm systems to ensure that secure conditions are maintained.
onet,7626,Firefighters,Operate pumps connected to high-pressure hoses.
micro,6359,Stonemasons,"Prepare site reports — Compile daily, weekly, and monthly reports for project updates."
micro,666,Computer programmers,Update dependencies — Check and update all third-party libraries.
micro,4980,Gambling and sports book writers and runners,Create a sports event calendar — Develop a calendar of upcoming sports events and schedules.
micro,5297,Cashiers,Process cash box transactions — Collect and verify cash from the cash box.
micro,793,Architects except landscape and naval,Maintain architectural software — Update tools and ensure system efficiency
micro,2964,Designers all other,Track design milestones — Monitor progress against design goals.
onet,4251,Education teachers postsecondary,"Conduct research in a particular field of knowledge and publish findings in professional journals, b — Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."
onet,11596,Continuous mining machine operators,Hang ventilation tubing and ventilation curtains to ensure that the mining face area is kept properl — Hang ventilation tubing and ventilation curtains to ensure that the mining face area is kept properly ventilated.
micro,6317,First-line supervisors of construction trades and extraction workers,Analyze project progress metrics — Gather and interpret key performance indicators for project timelines.
onet,8509,First-line supervisors of gambling services workers,Determine how many gaming tables to open each day and schedule staff accordingly.
micro,5909,Public safety telecommunicators,Monitor social media for public safety alerts — Track and summarize public safety-related social media mentions.
onet,13994,Chemical plant and system operators,Draw samples of products and conduct quality control tests to monitor processing and to ensure that  — Draw samples of products and conduct quality control tests to monitor processing and to ensure that standards are met.
onet,9411,Real estate sales agents,"Display commercial, industrial, agricultural, and residential properties to clients and explain thei — Display commercial, industrial, agricultural, and residential properties to clients and explain their features."
micro,376,Business operations specialists all other,Review daily KPIs — Analyze key performance indicators to assess operational efficiency.
onet,2873,Industrial-organizational psychologists,"Conduct research studies of physical work environments, organizational structures, communication sys — Conduct research studies of physical work environments, organizational structures, communication systems, group interactions, morale, or motivation to assess organizational functioning."
micro,9231,Hoist and winch operators,Report equipment downtime — Track and report machinery downtime incidents for analysis.
onet,3582,Directors religious activities and education,Collaborate with other ministry members to establish goals and objectives for religious education pr — Collaborate with other ministry members to establish goals and objectives for religious education programs or to develop ways to encourage program participation.
onet,1907,Computer hardware engineers,"Select hardware and material, assuring compliance with specifications and product requirements."
onet,6851,Magnetic resonance imaging technologists,Review physicians' orders to confirm prescribed exams.
onet,6877,Medical dosimetrists,"Identify and outline bodily structures, using imaging procedures, such as x-ray, magnetic resonance  — Identify and outline bodily structures, using imaging procedures, such as x-ray, magnetic resonance imaging, computed tomography, or positron emission tomography."
micro,8699,Adhesive bonding machine operators and tenders,Generate production reports — Compile data on bonded parts production and quality metrics.
onet,13559,Shoe and leather workers and repairers,"Dress and otherwise finish boots or shoes, as by trimming the edges of new soles and heels to the sh — Dress and otherwise finish boots or shoes, as by trimming the edges of new soles and heels to the shoe shape."
micro,1798,Marriage and family therapists,Progress documentation — Record session notes and track client progress in a structured format.
onet,10788,Cement masons and concrete finishers,"Produce rough concrete surface, using broom."
onet,8993,Exercise trainers and group fitness instructors,"Evaluate individuals' abilities, needs, and physical conditions, and develop suitable training progr — Evaluate individuals' abilities, needs, and physical conditions, and develop suitable training programs to meet any special requirements."
onet,3999,Physics teachers postsecondary,"Prepare course materials, such as syllabi, homework assignments, and handouts."
onet,4409,Communications teachers postsecondary,Advise students on academic and vocational curricula and on career issues.
onet,15428,Wellhead pumpers,Start compressor engines and divert oil from storage tanks into compressor units and auxiliary equip — Start compressor engines and divert oil from storage tanks into compressor units and auxiliary equipment to recover natural gas from oil.
onet,9596,Bookkeeping accounting and auditing clerks,Prepare and process payroll information.
micro,7382,Maintenance workers machinery,Monitor safety compliance — Ensure all maintenance work adheres to safety regulations.
micro,2565,Career/technical education teachers middle school,Organize staff meetings — Schedule and prepare agendas for staff collaboration sessions.
onet,14003,Chemical plant and system operators,"Gauge tank levels, using calibrated rods.Related occupations — Gauge tank levels, using calibrated rods."
micro,7556,Manufactured building and mobile home installers,Monitor equipment performance — Check equipment functionality after each installation to ensure quality.
onet,12418,Electrical power-line installers and repairers,"Adhere to safety practices and procedures, such as checking equipment regularly and erecting barrier — Adhere to safety practices and procedures, such as checking equipment regularly and erecting barriers around work areas."
micro,8229,Textile winding twisting and drawing out machine setters operators and tenders,Record winding cycle data — Log cycle times and quality metrics for each winding run.
onet,10579,Forest and conservation workers,"Select tree seedlings, prepare the ground, or plant the trees in reforestation areas, using manual p — Select tree seedlings, prepare the ground, or plant the trees in reforestation areas, using manual planting tools."
onet,9808,File clerks,Assign and record or stamp identification numbers or codes to index materials for filing.
onet,3052,Political scientists,Provide media commentary or criticism related to public policy and political issues and events.
micro,4801,First-line supervisors of landscaping lawn service and groundskeeping workers,Assess equipment wear and tear — Inspect and log mechanical equipment for maintenance needs
onet,11803,Telecommunications equipment installers and repairers except line installers,Provide input into the design and manufacturing of new equipment.
micro,3756,Physicians all other,Assess equipment maintenance schedules — Generate maintenance reminders for medical devices
micro,4236,Medical assistants,Patient Feedback Collection — Gather and analyze patient feedback to improve services.
micro,2949,Set and exhibit designers,Conduct design reviews — Review design drafts for consistency and quality
onet,9319,Sales representatives wholesale and manufacturing technical and scientific products,Provide feedback to product design teams so that products can be tailored to clients' needs.
onet,5287,Teaching assistants except postsecondary,Arrange for lectures by experts in designated fields.
onet,5841,Interpreters and translators,"Listen to speakers' statements to determine meanings and to prepare translations, using electronic l — Listen to speakers' statements to determine meanings and to prepare translations, using electronic listening systems as necessary."
onet,13663,Textile cutting machine setters operators and tenders,"Thread yarn, thread, or fabric through guides, needles, and rollers of machines.Related occupations — Thread yarn, thread, or fabric through guides, needles, and rollers of machines."
onet,3569,Clergy,Respond to requests for assistance during emergencies or crises.
onet,1607,Web and digital interface designers,"Collaborate with web development professionals, such as front-end or back-end developers, to complet — Collaborate with web development professionals, such as front-end or back-end developers, to complete the full scope of Web development projects."
