kind,id,occupation_title,task_text
onet,11226,Helpers brickmasons blockmasons stonemasons and tile and marble setters,"Clean installation surfaces, equipment, tools, work sites, or storage areas, using water, chemical s — Clean installation surfaces, equipment, tools, work sites, or storage areas, using water, chemical solutions, oxygen lances, or polishing machines."
onet,8438,Pesticide handlers sprayers and applicators vegetation,"Plant grass with seed spreaders, and operate straw blowers to cover seeded areas with mixtures of as — Plant grass with seed spreaders, and operate straw blowers to cover seeded areas with mixtures of asphalt and straw."
onet,8157,Bartenders,Slice and pit fruit for garnishing drinks.
onet,7859,Animal control workers,Contact animal owners to inform them that their pets are at animal holding facilities.
micro,1745,Forensic science technicians,Review forensic protocols — Evaluate current forensic procedures for compliance and efficiency.
micro,5904,Public safety telecommunicators,Coordinate with IT for system updates — Notify IT department about necessary software or hardware updates for telecommunication systems.
onet,8335,First-line supervisors of landscaping lawn service and groundskeeping workers,Investigate work-related complaints to verify problems and to determine responses.
onet,11093,Plumbers pipefitters and steamfitters,"Maintain or repair plumbing by replacing defective washers, replacing or mending broken pipes, or op — Maintain or repair plumbing by replacing defective washers, replacing or mending broken pipes, or opening clogged drains."
onet,6947,Pharmacy technicians,"Transfer medication from vials to the appropriate number of sterile, disposable syringes, using asep — Transfer medication from vials to the appropriate number of sterile, disposable syringes, using aseptic techniques."
micro,5726,Eligibility interviewers government programs,Review eligibility criteria — Analyze the requirements for government programs targeting office and administrative support roles.
onet,13244,Multiple machine tool setters operators and tenders metal and plastic,Align layout marks with dies or blades.Related occupations — Align layout marks with dies or blades.
micro,423,Credit analysts,Monitor credit scoring algorithms — Track changes in scoring models and validate their accuracy against real-world outcomes.
onet,9080,First-line supervisors of retail sales workers,"Confer with company officials to develop methods and procedures to increase sales, expand markets, a — Confer with company officials to develop methods and procedures to increase sales, expand markets, and promote business."
onet,4684,Elementary school teachers except special education,Enforce administration policies and rules governing students.
micro,3522,Therapists all other,Client feedback collection — Gather and analyze client feedback forms
onet,1386,Computer network support specialists,Perform routine maintenance or standard repairs to networking components or equipment.
micro,8768,Tire builders,Prepare material inventory — Verify tire material stock levels and reorder as needed
micro,4657,Cooks short order,Verify portion sizes for quick meals — Check that short order portions meet predefined specifications.
onet,2706,Atmospheric and space scientists,"Measure wind, temperature, and humidity in the upper atmosphere, using weather balloons."
onet,1535,Software developers,"Analyze information to determine, recommend, and plan installation of a new system or modification o — Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system."
onet,3933,Atmospheric earth marine and space sciences teachers postsecondary,"Conduct research in a particular field of knowledge and publish findings in professional journals, b — Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."
onet,11960,Aircraft mechanics and service technicians,"Listen to operating engines to detect and diagnose malfunctions, such as sticking or burned valves.R — Listen to operating engines to detect and diagnose malfunctions, such as sticking or burned valves."
onet,1257,Credit counselors,Refer clients to social service or community resources for needs beyond those of credit or debt coun — Refer clients to social service or community resources for needs beyond those of credit or debt counseling.
micro,3316,Dentists general,Compile patient feedback surveys — Automatically collect and analyze patient feedback from surveys.
onet,10399,Office machine operators except computer,"Move heat units and clamping frames over screen beds to form Braille impressions on pages, raising f — Move heat units and clamping frames over screen beds to form Braille impressions on pages, raising frames to release individual copies."
onet,1477,Database architects,"Develop data model describing data elements and their use, following procedures and using pen, templ — Develop data model describing data elements and their use, following procedures and using pen, template or computer software."
onet,5124,Museum technicians and conservators,"Recommend preservation procedures, such as control of temperature and humidity, to curatorial and bu — Recommend preservation procedures, such as control of temperature and humidity, to curatorial and building staff."
onet,12626,Locksmiths and safe repairers,"Repair and adjust safes, vault doors, and vault components, using hand tools, lathes, drill presses, — Repair and adjust safes, vault doors, and vault components, using hand tools, lathes, drill presses, and welding and acetylene cutting apparatus."
onet,6661,Physicians pathologists,"Educate physicians, students, and other personnel in medical laboratory professions, such as medical — Educate physicians, students, and other personnel in medical laboratory professions, such as medical technology, cytotechnology, or histotechnology."
micro,8942,Shuttle drivers and chauffeurs,Prepare daily shift reports — Compile and submit shift reports to management.
micro,3348,Orthodontists,Patient portal management — Manage and update patient access to the online portal.
onet,10415,Statistical assistants,Enter data into computers for use in analyses or reports.
onet,5001,Adult basic education adult secondary education and English as a second language instructors,Prepare reports on students and activities as required by administration.
micro,8850,Air traffic controllers,Ensure compliance with regulations — Review current procedures against aviation standards.
micro,5991,Weighers measurers checkers and samplers recordkeeping,Recordkeeping update — Update all measurement and sampling records in the system.
micro,5302,Cashiers,Update cash register settings — Adjust cash register settings for upcoming promotions.
micro,1357,Life scientists all other,Prepare grant application — Draft sections of a grant proposal with supporting evidence.
onet,7009,Veterinary technologists and technicians,Dress and suture wounds and apply splints or other protective devices.
onet,4520,Philosophy and religion teachers postsecondary,"Select and obtain materials and supplies, such as textbooks."
onet,4700,Elementary school teachers except special education,"Select, store, order, issue, and inventory classroom equipment, materials, and supplies."
micro,9205,Crane and tower operators,Monitor tower equipment — Inspect tower cranes and towers for wear and tear regularly.
micro,6770,Construction and building inspectors,Develop training modules for inspectors — Create interactive training content for construction inspectors.
onet,13083,Milling and planing machine tool setters operators and tenders metal and plastic,"Study blueprints, layouts, sketches, or work orders to assess workpiece specifications and to determ — Study blueprints, layouts, sketches, or work orders to assess workpiece specifications and to determine tooling instructions, tools and materials needed, and sequences of operations."
onet,5800,Editors,Arrange for copyright permissions.
onet,7192,Surgical assistants,Determine availability of necessary equipment or supplies for operative procedures.
micro,816,Cartographers and photogrammetrists,Prepare for construction phase — Create final deliverables for upcoming construction stages
onet,7501,Phlebotomists,"Conduct standards tests, such as blood alcohol, blood culture, oral glucose tolerance, glucose scree — Conduct standards tests, such as blood alcohol, blood culture, oral glucose tolerance, glucose screening, blood smears, or peak and trough drug levels tests."
onet,11580,Explosives workers ordnance handling experts and blasters,"Move and store inventories of explosives, loaded perforating guns, and other materials, according to — Move and store inventories of explosives, loaded perforating guns, and other materials, according to established safety procedures."
onet,6853,Magnetic resonance imaging technologists,Select appropriate imaging techniques or coils to produce required images.
micro,4316,First-line supervisors of firefighting and prevention workers,Conduct team briefings — Lead or participate in team briefings to discuss goals and progress.
micro,7170,Aircraft mechanics and service technicians,Log battery status and replacements — Record battery health data and replace faulty batteries regularly.
micro,2995,Athletes and sports competitors,Design athlete merchandise packaging — Sketch and refine packaging concepts for athlete products.
micro,8964,Motor vehicle operators all other,Track driver performance metrics — Automate collection and reporting of driver performance data
onet,11592,Explosives workers ordnance handling experts and blasters,Operate drones for aerial survey of blast sites and for post-blast damage assessment.
micro,1174,Mechanical engineering technologists and technicians,Review project documentation — Verify completeness and accuracy of project records.
micro,5126,Hairdressers hairstylists and cosmetologists,Update safety protocols — Review and refresh workplace safety procedures
onet,14318,Dental laboratory technicians,Order parts or materials needed to make dental appliances.Related occupations — Order parts or materials needed to make dental appliances.
micro,733,Mathematicians,Assist in writing mathematical reports — Draft and edit reports summarizing mathematical research.
onet,4381,Art drama and music teachers postsecondary,Maintain regularly scheduled office hours to advise and assist students.
onet,12050,Automotive service technicians and mechanics,Repair or rebuild transmissions.Related occupations — Repair or rebuild transmissions.
onet,9299,Sales representatives wholesale and manufacturing technical and scientific products,"Maintain customer records, using automated systems."
onet,6207,Occupational therapists,Provide patients with assistance in locating or holding jobs.
onet,15132,Bridge and lock tenders,"Control machinery to open and close canal locks and dams, railroad or highway drawbridges, or horizo — Control machinery to open and close canal locks and dams, railroad or highway drawbridges, or horizontally or vertically adjustable bridges."
onet,2071,Materials engineers,"Modify properties of metal alloys, using thermal and mechanical treatments."
onet,10774,Tile and stone setters,"Cut, surface, polish, and install marble and granite or install pre-cast terrazzo, granite or marble — Cut, surface, polish, and install marble and granite or install pre-cast terrazzo, granite or marble units."
micro,3314,Dentists general,Schedule routine check-ins — Set up automated check-in reminders for patients.
onet,11686,Helpers extraction workers,"Dismantle extracting and boring equipment used for excavation, using hand tools."
onet,8415,Landscaping and groundskeeping workers,Decorate gardens with stones or plants.
onet,11251,Helpers carpenters,Cut or weld metal.
micro,6492,Operating engineers and other construction equipment operators,Create operator shift schedules — Develop and adjust shift schedules for construction equipment operators.
micro,2494,Career/technical education teachers postsecondary,Track teacher performance metrics — Collect and analyze performance data for instructional improvement
micro,8598,Jewelers and precious stone and metal workers,Customer feedback collection — Gather and categorize customer comments on jewelry quality.
onet,9705,Brokerage clerks,Prepare reports summarizing daily transactions and earnings for individual customer accounts.
onet,7813,Parking enforcement workers,Assign and review the work of subordinates.
micro,1124,Electrical and electronic engineering technologists and technicians,Prepare for technical conferences — Compile materials and presentation points for upcoming events.
micro,1630,Food science technicians,Data collection planning — Design sample collection procedures for food science experiments.
onet,9039,Residential advisors,Mediate interpersonal problems between residents.
onet,8712,Locker room coatroom and dressing room attendants,Provide assistance to patrons by performing duties such as opening doors or carrying bags.
micro,6707,Helpers electricians,Track equipment usage — Log and review usage of electrical equipment for efficiency.
onet,11106,Plasterers and stucco masons,"Apply coats of plaster or stucco to walls, ceilings, or partitions of buildings, using trowels, brus — Apply coats of plaster or stucco to walls, ceilings, or partitions of buildings, using trowels, brushes, or spray guns."
onet,12146,Motorcycle mechanics,"Mount, balance, change, or check condition or pressure of tires.Related occupations — Mount, balance, change, or check condition or pressure of tires."
onet,13207,Molding coremaking and casting machine setters operators and tenders metal and plastic,"Install dies onto machines or presses and coat dies with parting agents, according to work order spe — Install dies onto machines or presses and coat dies with parting agents, according to work order specifications."
onet,5656,Music directors and composers,"Create original musical forms, or write within circumscribed musical forms such as sonatas, symphoni — Create original musical forms, or write within circumscribed musical forms such as sonatas, symphonies, or operas."
onet,14004,Chemical plant and system operators,Calculate material requirements or yields according to formulas.Related occupations — Calculate material requirements or yields according to formulas.
onet,6383,Registered nurses,Inform physician of patient's condition during anesthesia.
onet,12319,Home appliance repairers,"Bill customers for repair work, and collect payment.Related occupations — Bill customers for repair work, and collect payment."
micro,2816,Art directors,Track campaign performance — Monitor KPIs and report on campaign effectiveness.
micro,8034,Layout workers metal and plastic,Check safety protocols — Review and update safety procedures for metal and plastic work.
micro,3032,Dancers,Identify potential dance partners — Search for dancers with complementary styles and schedule practice sessions.
onet,1624,Web and digital interface designers,"Incorporate technical considerations into Web site design plans, such as budgets, equipment, perform — Incorporate technical considerations into Web site design plans, such as budgets, equipment, performance requirements, or legal issues including accessibility and privacy."
onet,9953,Human resources assistants except payroll and timekeeping,Arrange for advertising or posting of job vacancies and notify eligible workers of position availabi — Arrange for advertising or posting of job vacancies and notify eligible workers of position availability.
onet,4441,English language and literature teachers postsecondary,"Serve on academic or administrative committees that deal with institutional policies, departmental m — Serve on academic or administrative committees that deal with institutional policies, departmental matters, and academic issues."
onet,9037,Residential advisors,Provide emergency first aid and summon medical assistance when necessary.
onet,4621,Preschool teachers except special education,"Plan and supervise class projects, field trips, visits by guests, or other experiential activities a — Plan and supervise class projects, field trips, visits by guests, or other experiential activities and guide students in learning from those activities."
micro,5279,First-line supervisors of non-retail sales workers,Prepare weekly sales reports — Compile sales data and generate concise reports for management.
onet,11477,Derrick operators oil and gas,"Supervise crew members, and provide assistance in training them."
micro,6258,Forest and conservation workers,GIS mapping — Create maps to visualize forest boundaries and conservation zones
micro,7197,Automotive glass installers and repairers,Record customer feedback on installation quality — Collect and document customer comments regarding the glass installation process.
micro,1277,Zoologists and wildlife biologists,Draft a grant proposal — Write a draft for a wildlife research grant application.
micro,9552,Compliance officers,Maintain compliance records — Ensure accurate and up-to-date storage of compliance-related documentation.
micro,4996,Motion picture projectionists,Update projection software — Install and update the latest projection software to improve image quality.
onet,13457,Print binding and finishing workers,"Set up or operate bindery machines, such as coil binders, thermal or tape binders, plastic comb bind — Set up or operate bindery machines, such as coil binders, thermal or tape binders, plastic comb binders, or specialty binders."
micro,3472,Recreational therapists,Client feedback collection — Gather feedback after therapy sessions.
onet,5023,Self-enrichment teachers,"Observe students to determine qualifications, limitations, abilities, interests, and other individua — Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics."
onet,11933,Security and fire alarm systems installers,"Inspect installation sites and study work orders, building plans, and installation manuals to determ — Inspect installation sites and study work orders, building plans, and installation manuals to determine materials requirements and installation procedures."
micro,1336,Medical scientists except epidemiologists,Identify emerging health trends — Monitor publications and datasets to spot new medical trends.
onet,2880,Industrial-organizational psychologists,"Study consumers' reactions to new products and package designs, and to advertising efforts, using su — Study consumers' reactions to new products and package designs, and to advertising efforts, using surveys and tests."
micro,6878,Rotary drill operators oil and gas,Analyze drilling data — Use software to interpret drilling performance metrics.
micro,8842,Air traffic controllers,Maintain communication logs — Record and review communication transcripts for compliance.
micro,7015,Extraction workers all other,Classify extracted materials — Sort and categorize materials based on type and origin
onet,6204,Occupational therapists,"Help clients improve decision making, abstract reasoning, memory, sequencing, coordination, and perc — Help clients improve decision making, abstract reasoning, memory, sequencing, coordination, and perceptual skills, using computer programs."
micro,2277,Political science teachers postsecondary,Prepare for exams — Develop study guides and practice questions for upcoming assessments.
micro,3782,Dental hygienists,Document procedural changes — Record and archive changes to standard procedures
micro,7433,Telecommunications line installers and repairers,Update manuals — Review and revise installation/repair manuals based on field experiences.
onet,162,Public relations managers,Manage in-house communication courses.
onet,4484,History teachers postsecondary,"Conduct research in a particular field of knowledge and publish findings in professional journals, b — Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."
onet,3699,Paralegals and legal assistants,Call upon witnesses to testify at hearings.
onet,13077,Milling and planing machine tool setters operators and tenders metal and plastic,"Verify alignment of workpieces on machines, using measuring instruments such as rules, gauges, or ca — Verify alignment of workpieces on machines, using measuring instruments such as rules, gauges, or calipers."
onet,2398,Mechanical engineering technologists and technicians,"Review project instructions and blueprints to ascertain test specifications, procedures, and objecti — Review project instructions and blueprints to ascertain test specifications, procedures, and objectives, and test nature of technical problems such as redesign."
micro,6327,Boilermakers,Audit equipment maintenance — Inspect and log maintenance records for extraction machinery and construction tools.
onet,12748,Electrical electronic and electromechanical assemblers except coil winders tapers and finishers,"Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers.Related occupations — Cut, strip, and bend wire leads at ends of coils, using pliers and wire scrapers."
onet,5465,Merchandise displayers and window trimmers,Dress mannequins for displays.
micro,86,Administrative services managers,Prepare budget reports — Compile financial data and prepare summaries for stakeholders
onet,1458,Database administrators,"Approve, schedule, plan, and supervise the installation and testing of new products and improvements — Approve, schedule, plan, and supervise the installation and testing of new products and improvements to computer systems, such as the installation of new databases."
onet,10489,Animal breeders,Maintain logs of semen specimens used and animals bred.
onet,5397,Fashion designers,Research the styles and periods of clothing needed for film or theatrical productions.
onet,1081,Accountants and auditors,Establish tables of accounts and assign entries to proper accounts.
micro,601,Computer user support specialists,Explain mathematical concepts — Break down complex math topics for the user
onet,8985,Childcare workers,Help children with homework and school work.
micro,4040,Health technologists and technicians all other,Analyze staff performance metrics — Compile and review performance data for healthcare technicians.
onet,1803,Aerospace engineers,"Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of — Plan or conduct experimental, environmental, operational, or stress tests on models or prototypes of aircraft or aerospace systems or equipment."
onet,8708,Locker room coatroom and dressing room attendants,"Store personal possessions for patrons, issue claim checks for articles stored, and return articles  — Store personal possessions for patrons, issue claim checks for articles stored, and return articles on receipt of checks."
onet,2042,Marine engineers and naval architects,"Prepare technical reports for use by engineering, management, or sales personnel."
onet,4426,English language and literature teachers postsecondary,"Initiate, facilitate, and moderate classroom discussions."
micro,478,Financial examiners,Compile industry trends — Gather and summarize recent industry trends in business and finance.
onet,4056,Area ethnic and cultural studies teachers postsecondary,"Plan, evaluate, and revise curricula, course content, course materials, and methods of instruction."
onet,9890,Loan interviewers and clerks,Submit loan applications with recommendation for underwriting approval.
micro,4649,Cooks restaurant,Clean up — Wipe counters and put away utensils after service.
micro,6904,Excavating and loading machine and dragline operators surface mining,Conduct pre-start safety briefing — Lead a safety briefing before commencing excavation tasks.
micro,3513,Exercise physiologists,Collect feedback from clients — Gather client input on exercise programs.
micro,7172,Aircraft mechanics and service technicians,Review maintenance schedules — Update and optimize maintenance schedules based on aircraft usage data.
micro,3529,Veterinarians,Review medical literature — Search and summarize recent studies relevant to current cases.
onet,14981,Rail yard engineers dinkey operators and hostlers,Operate flatcars equipped with derricks or railcars to transport personnel or equipment.Related occu — Operate flatcars equipped with derricks or railcars to transport personnel or equipment.
micro,4261,Pharmacy aides,Stock reconciliation — Compare recorded inventory with physical stock counts.
micro,1880,Social workers all other,Coordinate case planning meetings — Organize and schedule meetings with service providers and agency staff.
onet,2688,Physicists,Perform peer reviews of scientific papers.
onet,9912,New accounts clerks,"Investigate and correct errors upon customers' request, according to customer and bank records."
onet,8380,Maids and housekeeping cleaners,"Sort, count, and mark clean linens and store them in linen closets."
micro,4334,First-line supervisors of security workers,Conduct team performance reviews — Assess team effectiveness and provide feedback for improvement
