kind,id,occupation_title,task_text
onet,9430,Sales engineers,Create sales or service contracts for products or services.
micro,991,Mining and geological engineers including mining safety engineers,Review mining safety regulations — Analyze current mining safety standards and identify compliance gaps.
onet,15069,Captains mates and pilots of water vessels,Serve as a vessel's docking master upon arrival at a port or at a berth.Related occupations — Serve as a vessel's docking master upon arrival at a port or at a berth.
onet,4288,Library science teachers postsecondary,Collaborate with colleagues to address teaching and research issues.
micro,912,Electrical engineers,Perform load testing simulations — Run virtual load tests on proposed electrical configurations.
micro,9124,Automotive and watercraft service attendants,Prepare cleaning supplies inventory — Check and restock cleaning materials to ensure availability during service calls.
micro,7391,Millwrights,Inventory audit — Check and record inventory of installation tools and spare parts.
micro,5854,Reservation and transportation ticket agents and travel clerks,Prepare travel itineraries for employees — Create and distribute personalized travel plans
onet,15404,Gas compressor and gas pumping station operators,"Operate power-driven pumps that transfer liquids, semi-liquids, gases, or powdered materials.Related — Operate power-driven pumps that transfer liquids, semi-liquids, gases, or powdered materials."
micro,6609,Plasterers and stucco masons,"Check for chemical exposure risks — Inspect for dust, fumes, or chemical residues in plasterwork areas."
onet,5989,Photographers,"Develop and print exposed film, using chemicals, touch-up tools, and developing and printing equipme — Develop and print exposed film, using chemicals, touch-up tools, and developing and printing equipment."
micro,9228,Hoist and winch operators,Inspect hoist and winch systems — Perform routine checks on hoist and winch equipment to ensure safety compliance.
onet,6451,Nurse practitioners,Schedule follow-up visits to monitor patients or evaluate health or illness care.
onet,4709,Middle school teachers except special and career/technical education,"Establish clear objectives for all lessons, units, and projects, and communicate these objectives to — Establish clear objectives for all lessons, units, and projects, and communicate these objectives to students."
onet,4346,Law teachers postsecondary,Provide professional consulting services to government or industry.
micro,4055,Athletic trainers,Develop personalized training plans — Create individualized workout schedules based on athlete needs.
micro,5776,Library assistants clerical,Prepare meeting agendas — Compile and distribute meeting agendas to participants in advance.
micro,6718,Helpers painters paperhangers plasterers and stucco masons,Inspect stucco masonry — Examine stucco surfaces for cracks or damage.
onet,15064,Sailors and marine oilers,"Measure depth of water in shallow or unfamiliar waters, using leadlines, and telephone or shout dept — Measure depth of water in shallow or unfamiliar waters, using leadlines, and telephone or shout depth information to vessel bridges."
micro,7292,Bicycle repairers,Tighten bolts systematically — Secure all bolts and fasteners using torque specifications.
micro,9504,Agents and business managers of artists performers and athletes,Prepare budget forecasts — Create monthly budget forecasts for artist and athlete projects.
micro,4588,Chefs and head cooks,Kitchen layout optimization — Assess and rearrange workspace for efficiency.
micro,2560,Career/technical education teachers middle school,Update technology tools — Evaluate new educational software options.
micro,5282,First-line supervisors of non-retail sales workers,Monitor inventory levels — Check stock levels and reorder supplies as needed.
micro,5332,Parts salespersons,Train new sales staff — Conduct onboarding sessions and provide sales training materials.
onet,2913,School psychologists,"Compile and interpret students' test results, along with information from teachers and parents, to d — Compile and interpret students' test results, along with information from teachers and parents, to diagnose conditions and to help assess eligibility for special services."
micro,9378,Public relations managers,Craft press releases — Write concise and impactful press releases for media outreach.
onet,15083,Captains mates and pilots of water vessels,"Maintain records of daily activities, personnel reports, ship positions and movements, ports of call — Maintain records of daily activities, personnel reports, ship positions and movements, ports of call, weather and sea conditions, pollution control efforts, or cargo or passenger status."
onet,10915,Drywall and ceiling tile installers,"Assemble or install metal framing or decorative trim for windows, doorways, or vents."
micro,8132,Sewing machine operators,Update sewing machine manuals — Review and update documentation with new procedures and troubleshooting tips.
onet,6881,Medical dosimetrists,"Supervise or perform simulations for tumor localizations, using imaging methods such as magnetic res — Supervise or perform simulations for tumor localizations, using imaging methods such as magnetic resonance imaging, computed tomography, or positron emission tomography scans."
onet,5681,Musicians and singers,"Research particular roles to find out more about a character, or the time and place in which a piece — Research particular roles to find out more about a character, or the time and place in which a piece is set."
micro,3753,Physicians all other,Generate patient education materials — Create and distribute multilingual health guides
onet,12986,Rolling machine setters operators and tenders metal and plastic,Record mill production on schedule sheets.Related occupations — Record mill production on schedule sheets.
onet,635,Medical and health services managers,"Consult with medical, business, and community groups to discuss service problems, respond to communi — Consult with medical, business, and community groups to discuss service problems, respond to community needs, enhance public relations, coordinate activities and plans, and promote health programs."
onet,2108,Mechanical engineers,"Direct the installation, operation, maintenance, or repair of renewable energy equipment, such as he — Direct the installation, operation, maintenance, or repair of renewable energy equipment, such as heating, ventilating, and air conditioning (HVAC) or water systems."
micro,6572, Painters construction and maintenance,Maintain records — Organize and store all documentation related to the painter's construction and maintenance project.
onet,12000,Automotive body and related repairers,Soak fiberglass matting in resin mixtures and apply layers of matting over repair areas to specified — Soak fiberglass matting in resin mixtures and apply layers of matting over repair areas to specified thicknesses.
onet,11645,Loading and moving machine operators underground mining,Signal workers to move loaded cars.
onet,2838,Economists,Construct and manage economic datasets.
micro,5913,Public safety telecommunicators,Update email templates for internal communications — Revise and distribute updated email templates for public safety operations.
onet,9575,Billing and posting clerks,"Compute credit terms, discounts, shipment charges, or rates for goods or services to complete billin — Compute credit terms, discounts, shipment charges, or rates for goods or services to complete billing documents."
micro,7769,Food batchmakers,Inspect finished products — Visually check for quality and consistency before packaging.
onet,4732,Middle school teachers except special and career/technical education,"Perform administrative duties, such as school library assistance, hall and cafeteria monitoring, and — Perform administrative duties, such as school library assistance, hall and cafeteria monitoring, and bus loading and unloading."
onet,9871,Library assistants clerical,"Schedule, supervise, and train clerical workers, volunteers, student assistants, and other library e — Schedule, supervise, and train clerical workers, volunteers, student assistants, and other library employees."
onet,12580,Coin vending and amusement machine servicers and repairers,Maintain records of machine maintenance and repair.Related occupations — Maintain records of machine maintenance and repair.
onet,1870,Chemical engineers,Design and plan layout of equipment.
onet,12658,Riggers,Clean and dress machine surfaces and component parts.Related occupations — Clean and dress machine surfaces and component parts.
micro,7107,Electrical and electronics installers and repairers transportation equipment,Assist with equipment labeling — Label equipment with serial numbers and maintenance dates.
onet,4735,Middle school teachers except special and career/technical education,"Select, store, order, issue, and inventory classroom equipment, materials, and supplies."
micro,9512,Agents and business managers of artists performers and athletes,Prepare investor reports — Draft reports for potential investors or funding sources.
onet,9532,Telephone operators,Offer special assistance to persons such as those who are unable to dial or who are in emergency sit — Offer special assistance to persons such as those who are unable to dial or who are in emergency situations.
micro,3992,Medical records specialists,Generate summary reports for management — Compile key metrics from medical records into concise reports.
onet,64,Legislators,"Serve on commissions, investigative panels, study groups, and committees in order to examine special — Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action."
micro,7352,Heating air conditioning and refrigeration mechanics and installers,Update AC maintenance schedule — Record service history and schedule next maintenance.
onet,7835,Police and sheriff's patrol officers,Notify patrol units to take violators into custody or to provide needed assistance or medical aid.
onet,1845,Bioengineers and biomedical engineers,Develop models or computer simulations of human biobehavioral systems to obtain data for measuring o — Develop models or computer simulations of human biobehavioral systems to obtain data for measuring or controlling life processes.
micro,8323,Patternmakers wood,Design specifications review — Review and validate patternmaking templates against production requirements
onet,14874,Bus drivers school,Follow safety rules as students board and exit buses or cross streets near bus stops.Related occupat — Follow safety rules as students board and exit buses or cross streets near bus stops.
