kind,id,occupation_title,task_text
onet,3193,Hydrologic technicians,"Measure the properties of bodies of water, such as water levels, volume, and flow."
micro,7852,Drilling and boring machine tool setters operators and tenders metal and plastic,Inspect safety equipment for drilling and boring machines — Check and maintain safety equipment used in drilling and boring operations.
onet,14829,Driver/sales workers,"Review lists of dealers, customers, or station drops and load trucks.Related occupations — Review lists of dealers, customers, or station drops and load trucks."
micro,7446,Medical equipment repairers,Document repair procedures — Record details of repairs performed and maintenance schedules.
micro,31,Marketing managers,Tracking KPIs — Monitoring key performance indicators like customer acquisition cost or brand sentiment.
micro,4187,Physical therapist assistants,Verify patient contact information — Check and update patient records with accurate contact details.
micro,2883,Fashion designers,Analyze fabric sustainability reports — Review sustainability metrics for fabric suppliers.
micro,8408,Stationary engineers and boiler operators,Monitor energy consumption metrics — Track and analyze energy usage data from production equipment.
onet,14892,Bus drivers transit and intercity,"Inspect vehicles and check gas, oil, and water levels prior to departure.Related occupations — Inspect vehicles and check gas, oil, and water levels prior to departure."
micro,9482,Personal service managers all other,Schedule personalized training sessions — Identify skill gaps and arrange tailored learning opportunities.
onet,1779,Surveyors,"Prepare and maintain sketches, maps, reports, and legal descriptions of surveys to describe, certify — Prepare and maintain sketches, maps, reports, and legal descriptions of surveys to describe, certify, and assume liability for work performed."
onet,11907,Electronic equipment installers and repairers motor vehicles,Run new speaker and electrical cables.Related occupations — Run new speaker and electrical cables.
onet,11170,Sheet metal workers,"Perform building commissioning activities by completing mechanical inspections of a building's water — Perform building commissioning activities by completing mechanical inspections of a building's water, lighting, or heating, ventilating, and air conditioning (HVAC) systems."
onet,14950,Locomotive engineers,Observe tracks to detect obstructions.Related occupations — Observe tracks to detect obstructions.
micro,6278,Logging equipment operators,Equipment inspection reports — Generate weekly inspection summaries for machinery
micro,2954,Designers all other,Research current trends — Analyze recent design industry reports and identify key themes.
micro,1185,Calibration technologists and technicians,Coordinate with vendors — Communicate with suppliers regarding calibration parts and services.
onet,9982,Reservation and transportation ticket agents and travel clerks,"Announce arrival and departure information, using public address systems."
micro,4326,First-line supervisors of security workers,Monitor security camera feeds — Check live feeds for anomalies and report issues immediately
micro,9506,Agents and business managers of artists performers and athletes,Assess financial risks — Identify and evaluate financial risks for artist and athlete portfolios.
onet,6,Chief executives,Implement corrective action plans to solve organizational or departmental problems.
micro,2520,Preschool teachers except special education,Implement safety protocols — Ensure classroom safety through established procedures.
micro,2784,Teaching assistants except postsecondary,Monitor attendance — Track student attendance and report absences promptly.
onet,1175,Personal financial advisors,Investigate available investment opportunities to determine compatibility with client financial plan — Investigate available investment opportunities to determine compatibility with client financial plans.
onet,13512,Pressers textile garment and related materials,Moisten materials to soften and smooth them.Related occupations — Moisten materials to soften and smooth them.
onet,13220,Molding coremaking and casting machine setters operators and tenders metal and plastic,"Spray, smoke, or coat molds with compounds to lubricate or insulate molds, using acetylene torches o — Spray, smoke, or coat molds with compounds to lubricate or insulate molds, using acetylene torches or sprayers."
onet,3364,Educational guidance and career counselors and advisors,Establish and enforce administration policies and rules governing student behavior.
onet,583,Entertainment and recreation managers except gambling,Interview and hire associates to fill staff vacancies.
micro,5123,Hairdressers hairstylists and cosmetologists,Prepare training materials — Develop guides and resources for new employees
onet,3890,Biological science teachers postsecondary,Act as advisers to student organizations.
onet,10357,Mail clerks and mail machine operators except postal service,"Sell mail products, and accept payment for products and mailing charges."
onet,14650,Helpers production workers,"Attach slings, ropes, or cables to objects such as pipes, hoses, or bundles.Related occupations — Attach slings, ropes, or cables to objects such as pipes, hoses, or bundles."
micro,861,Bioengineers and biomedical engineers,Draft a project timeline for a biomedical engineering prototype — Create a detailed timeline for developing a new medical device
micro,5043,Locker room coatroom and dressing room attendants,Update coatroom equipment checklist — Maintain and verify availability of lockers and facilities.
onet,14684,Airline pilots copilots and flight engineers,"Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight, adhe — Start engines, operate controls, and pilot airplanes to transport passengers, mail, or freight, adhering to flight plans, regulations, and procedures."
micro,3305,Chiropractors,Monitor practice performance metrics — Track and analyze patient satisfaction scores.
micro,7673,Structural metal fabricators and fitters,Update material inventory — Record and verify usage of structural metal materials in production
onet,15044,Sailors and marine oilers,"Maintain government-issued certifications, as required.Related occupations — Maintain government-issued certifications, as required."
onet,2584,Conservation scientists,Develop or maintain working relationships with local government staff or board members.
onet,7701,Bailiffs,"Check courtroom for security and cleanliness and assure availability of sundry supplies, such as not — Check courtroom for security and cleanliness and assure availability of sundry supplies, such as notepads, for use by judge, jurors, and attorneys."
onet,13215,Molding coremaking and casting machine setters operators and tenders metal and plastic,"Adjust equipment and workpiece holding fixtures, such as mold frames, tubs, and cutting tables, to e — Adjust equipment and workpiece holding fixtures, such as mold frames, tubs, and cutting tables, to ensure proper functioning."
onet,12408,Refractory materials repairers except brickmasons,"Chip slag from linings of ladles or remove linings when beyond repair, using hammers and chisels.Rel — Chip slag from linings of ladles or remove linings when beyond repair, using hammers and chisels."
micro,2566,Career/technical education teachers middle school,Research new teaching techniques — Investigate emerging best practices in education.
micro,6807,Hazardous materials removal workers,Update training materials — Create or revise training content for new safety procedures.
micro,1139,Environmental engineering technologists and technicians,Develop a sustainability assessment model — Create a model to evaluate the environmental impact of proposed designs.
onet,1650,Actuaries,Manage credit and help price corporate security offerings.
micro,8545,Cutting and slicing machine setters operators and tenders,Generate setup checklist — Create a standardized checklist for operators before starting cutting/slicing tasks.
micro,8936,Shuttle drivers and chauffeurs,Schedule maintenance appointments — Coordinate service appointments for vehicles.
onet,7894,Gambling surveillance officers and gambling investigators,"Report all violations and suspicious behaviors to supervisors, verbally or in writing."
onet,10507,Agricultural equipment operators,"Adjust, repair, and service farm machinery and notify supervisors when machinery malfunctions."
micro,638,Database architects,Validate data integrity rules — Check for inconsistencies in data validation rules across tables.
onet,2454,Surveying and mapping technicians,Trace contours or topographic details to generate maps that denote specific land or property locatio — Trace contours or topographic details to generate maps that denote specific land or property locations or geographic attributes.
onet,5420,Graphic designers,Prepare digital files for printing.
micro,775,Mathematical science occupations all other,Prepare a mathematical presentation — Structure and format content for a clear presentation.
onet,15378,Stockers and order fillers,"Read orders to ascertain catalog numbers, sizes, colors, and quantities of merchandise.Related occup — Read orders to ascertain catalog numbers, sizes, colors, and quantities of merchandise."
micro,1094,Aerospace engineering and operations technologists and technicians,Research aerospace materials properties — Investigate and summarize the latest research on advanced aerospace materials.
onet,5143,Librarians and media collections specialists,"Review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current ho — Review and evaluate materials, using book reviews, catalogs, faculty recommendations, and current holdings to select and order print, audio-visual, and electronic resources."
onet,382,Farmers ranchers and other agricultural managers,"Direct and monitor the transfer of mature fish to lakes, ponds, streams, or commercial tanks."
micro,5922,Meter readers utilities,Train new meter readers — Provide hands-on training and documentation for new meter personnel.
micro,4611,Cooks fast food,Clean kitchen equipment — Disassemble and clean cooking appliances after prep.
micro,2823,Craft artists,Develop a pricing strategy — Analyze market rates for craft supplies
onet,4872,Special education teachers kindergarten and elementary school,"Attend professional meetings, educational conferences, or teacher training workshops to maintain or  — Attend professional meetings, educational conferences, or teacher training workshops to maintain or improve professional competence."
onet,12612,Commercial divers,"Set or guide placement of pilings or sandbags to provide support for structures, such as docks, brid — Set or guide placement of pilings or sandbags to provide support for structures, such as docks, bridges, cofferdams, or platforms."
onet,11330,Construction and building inspectors,"Conduct inspections, using survey instruments, metering devices, tape measures, or test equipment."
micro,319,Meeting convention and event planners,Prepare budget overview for the meeting — Compile financial data and present a budget summary to stakeholders.
onet,8146,Bartenders,Collect money for drinks served.
onet,14184,Cutting and slicing machine setters operators and tenders,"Move stock or scrap to and from machines manually, or by using carts, handtrucks, or lift trucks.Rel — Move stock or scrap to and from machines manually, or by using carts, handtrucks, or lift trucks."
micro,6087,Insurance claims and policy processing clerks,Update policyholder records — Enter or correct policyholder information in the system
micro,5264,Personal care and service workers all other,Support with light housekeeping tasks — Assist clients with minor cleaning and maintenance needs.
micro,1669,Environmental science and protection technicians including health,Assist with community outreach — Design and distribute educational materials on environmental protection.
