kind,id,occupation_title,task_text
micro,8615,Medical appliance technicians,Feedback collection — Gather feedback from production staff on processes
onet,2028,Industrial engineers,"Coordinate and implement quality control objectives, activities, or procedures to resolve production — Coordinate and implement quality control objectives, activities, or procedures to resolve production problems, maximize product reliability, or minimize costs."
onet,4944,Special education teachers secondary school,"Confer with parents, administrators, testing specialists, social workers, or other professionals to  — Confer with parents, administrators, testing specialists, social workers, or other professionals to develop individual educational plans (IEPs) for students' educational, physical, and social development."
micro,956,Industrial engineers,Conduct stakeholder feedback analysis — Analyze feedback from industrial engineering projects to improve performance.
micro,113,Industrial production managers,Coordinate with suppliers — Track supplier deliveries and ensure timely receipt of raw materials.
micro,4352,Firefighters,Conduct equipment inventory check — List and verify all firefighting equipment in the department.
onet,10536,Farmworkers and laborers crop nursery and greenhouse,"Dig, cut, and transplant seedlings, cuttings, trees, and shrubs."
onet,6169,Physician assistants,Prescribe therapy or medication with physician approval.
micro,5887,Couriers and messengers,Maintain office phone records — Log and update phone number changes for staff
micro,3260,Photographers,Update contact list — Organize and clean up client and portfolio contacts
onet,14737,Air traffic controllers,Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports — Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.
onet,1345,Computer systems analysts,"Interview or survey workers, observe job performance, or perform the job to determine what informati — Interview or survey workers, observe job performance, or perform the job to determine what information is processed and how it is processed."
micro,2691,Teachers and instructors all other,Develop lesson activities — Create interactive and hands-on learning activities.
micro,3544,Registered nurses,Assist with patient education — Provide basic health education materials to patients.
onet,15163,Parking attendants,"Perform maintenance on cars in storage to protect tires, batteries, or exteriors from deterioration."
onet,12599,Commercial divers,"Supervise or train other divers, including hobby divers.Related occupations — Supervise or train other divers, including hobby divers."
micro,1143,Environmental engineering technologists and technicians,"Prepare environmental impact reports — Compile findings into clear, structured reports for stakeholders."
micro,3994,Medical records specialists,Update patient contact information — Replace outdated contact details with current records.
micro,4680,Food preparation workers,Clean and sanitize workstations — Disinfect all surfaces and equipment after use.
onet,2959,Urban and regional planners,Assess the feasibility of land use proposals and identify necessary changes.
micro,5652,Financial clerks all other,Compile monthly expense reports — Gather and summarize financial data for the month
onet,2515,Soil and plant scientists,"Research technical requirements or environmental impacts of urban green spaces, such as green roof i — Research technical requirements or environmental impacts of urban green spaces, such as green roof installations."
onet,9407,Real estate sales agents,Coordinate appointments to show homes to prospective buyers.
onet,12083,Farm equipment mechanics and service technicians,Clean and lubricate parts.Related occupations — Clean and lubricate parts.
onet,1865,Bioengineers and biomedical engineers,Design or direct bench or pilot production experiments to determine the scale of production methods  — Design or direct bench or pilot production experiments to determine the scale of production methods that optimize product yield and minimize production costs.
onet,1233,Financial examiners,Establish guidelines for procedures and policies that comply with new and revised regulations and di — Establish guidelines for procedures and policies that comply with new and revised regulations and direct their implementation.
onet,14809,Ambulance drivers and attendants except emergency medical technicians,Remove and replace soiled linens or equipment to maintain sanitary conditions.Related occupations — Remove and replace soiled linens or equipment to maintain sanitary conditions.
onet,15131,Ship engineers,"Use drone technology for ship inspections, maintenance, or other tasks.Related occupations — Use drone technology for ship inspections, maintenance, or other tasks."
micro,9021,Subway and streetcar operators,Operate subway train schedules — Manage and update daily subway train timetables to ensure timely arrivals.
onet,2432,Calibration technologists and technicians,Maintain or repair measurement devices or equipment used for calibration testing.
