kind,id,occupation_title,task_text
onet,10668,Brickmasons and blockmasons,"Remove burned or damaged brick or mortar, using sledgehammer, crowbar, chipping gun, or chisel."
micro,2943,Set and exhibit designers,Design social media posts — Draft and visualize social media content
micro,8930,Bus drivers transit and intercity,Generate service alerts — Create and distribute alerts to passengers about service disruptions.
onet,7274,Orderlies,"Answer patient call signals, signal lights, bells, or intercom systems to determine patients' needs."
onet,417,Construction managers,Study job specifications to determine appropriate construction methods.
micro,4759,Hosts and hostesses restaurant lounge and coffee shop,Monitor coffee shop order flow — Track customer orders to identify bottlenecks.
onet,2018,Industrial engineers,"Confer with clients, vendors, staff, and management personnel regarding purchases, product and produ — Confer with clients, vendors, staff, and management personnel regarding purchases, product and production specifications, manufacturing capabilities, or project status."
onet,10387,Office machine operators except computer,"Complete records of production, including work volumes and outputs, materials used, and any backlogs — Complete records of production, including work volumes and outputs, materials used, and any backlogs."
micro,1805,Marriage and family therapists,Therapy session debrief — Conduct post-session reviews to improve therapist performance.
onet,448,Education and childcare administrators preschool and daycare,"Inform businesses, community groups, and governmental agencies about educational needs, available pr — Inform businesses, community groups, and governmental agencies about educational needs, available programs, and program policies."
onet,5822,Writers and authors,"Discuss with the client the product, advertising themes and methods, and any changes that should be  — Discuss with the client the product, advertising themes and methods, and any changes that should be made in advertising copy."
onet,15061,Sailors and marine oilers,Overhaul lifeboats or lifeboat gear and lower or raise lifeboats with winches or falls.Related occup — Overhaul lifeboats or lifeboat gear and lower or raise lifeboats with winches or falls.
onet,3818,Engineering teachers postsecondary,"Conduct research in a particular field of knowledge and publish findings in professional journals, b — Conduct research in a particular field of knowledge and publish findings in professional journals, books, or electronic media."
onet,10491,Animal breeders,Clip or shear hair on animals.
onet,6952,Pharmacy technicians,Price stock and mark items for sale.
onet,13923,Power distributors and dispatchers,Tend auxiliary equipment used in the power distribution process.Related occupations — Tend auxiliary equipment used in the power distribution process.
onet,14510,Adhesive bonding machine operators and tenders,"Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers — Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers."
onet,15134,Bridge and lock tenders,Observe position and progress of vessels to ensure best use of lock spaces or bridge opening spaces.
micro,5868,Information and record clerks all other,Record daily tasks — Document tasks and responsibilities for team members.
micro,3925,Pharmacy technicians,Troubleshoot equipment issues — Identify and resolve problems with pharmacy machines or software.
onet,9443,Sales engineers,Attend trade shows and seminars to promote products or to learn about industry developments.
onet,5366,Commercial and industrial designers,Present designs and reports to customers or design committees for approval and discuss need for modi — Present designs and reports to customers or design committees for approval and discuss need for modification.
micro,7183,Automotive body and related repairers,Photograph body parts before installation — Take clear photos of body parts prior to installation for quality control.
onet,12308,Heating air conditioning and refrigeration mechanics and installers,"Record and report time, materials, faults, deficiencies, or other unusual occurrences on work orders — Record and report time, materials, faults, deficiencies, or other unusual occurrences on work orders."
onet,8849,Makeup artists theatrical and performance,Confer with stage or motion picture officials and performers to determine desired effects.
micro,1052,Electrical and electronics drafters,Review electrical schematics — Analyze and validate the accuracy of electrical diagrams and connections.
micro,4975,Gambling and sports book writers and runners,Prepare a sports news brief — Summarize key sports news headlines for daily publication.
micro,7481,Precision instrument and equipment repairers all other,Document repair procedures — Record detailed steps of installation and repair processes for future reference.
