kind,id,occupation_title,task_text
onet,10271,Data entry keyers,Maintain logs of activities and completed work.
micro,2052,Judges magistrate judges and magistrates,Prepare for trials — Organize evidence and prepare arguments for upcoming trials.
onet,14647,Helpers production workers,Clean and lubricate equipment.Related occupations — Clean and lubricate equipment.
onet,14281,Jewelers and precious stone and metal workers,"Create new jewelry designs and modify existing designs, using computers as necessary.Related occupat — Create new jewelry designs and modify existing designs, using computers as necessary."
onet,4250,Education teachers postsecondary,"Prepare course materials, such as syllabi, homework assignments, and handouts."
micro,4165,Occupational therapy aides,Assess patient mobility — Evaluate the patient's current mobility level and identify any limitations.
onet,12439,Electrical power-line installers and repairers,Cut and peel lead sheathing and insulation from defective or newly installed cables and conduits pri — Cut and peel lead sheathing and insulation from defective or newly installed cables and conduits prior to splicing.
micro,5119,Hairdressers hairstylists and cosmetologists,Review service standards — Assess and update service quality metrics
onet,2994,Anthropologists and archeologists,"Record the exact locations and conditions of artifacts uncovered in diggings or surveys, using drawi — Record the exact locations and conditions of artifacts uncovered in diggings or surveys, using drawings and photographs as necessary."
micro,4565,School bus monitors,Prepare incident summaries — Compile incident summaries for administrative records.
micro,5787,Loan interviewers and clerks,Conduct interview questions — Formulate clear and relevant questions for loan interviewers.
micro,5951,Postal service mail carriers,Prepare for seasonal peaks — Plan resources for increased mail volume during peak seasons.
micro,951,Industrial engineers,Analyze current project workflows — Review existing industrial engineering processes for architecture and engineering projects.
micro,9078,Motorboat operators,Plan maintenance schedules — Create and follow maintenance schedules for motorboat equipment.
micro,5234,Recreation workers,Create client care plans — Develop personalized care plans based on client preferences and medical needs.
onet,9292,Sales representatives of services except advertising insurance financial services and travel,Maintain customer records using automated systems.
onet,7384,Massage therapists,"Consult with other health care professionals, such as physiotherapists, chiropractors, physicians, a — Consult with other health care professionals, such as physiotherapists, chiropractors, physicians, and psychologists, to develop treatment plans for clients."
